instance family glasgow hybrid-checking hybrid-always hybrid-rbj hybrid-never
si6_m4Dr2_m1296.04 6 309 13 13 13 13
si6_m4Dr2_m1296.00 6 263 16 16 16 16
si6_m4Dr2_m1296.08 6 239 10 10 10 10
si6_m4Dr2_m1296.02 6 235 19 19 19 19
si2_b09m_m800.09 4 32 15 15 15 15
si2_b09m_m800.07 4 33 22 22 22 22
si2_b09m_m800.00 4 35 14 14 14 14
si2_b09m_m800.04 4 51 18 18 18 18
si2_b09m_m800.02 4 35 12 12 12 12
si2_b09m_m800.05 4 35 14 14 14 14
si2_b09m_m800.03 4 63 12 12 12 12
si2_b09m_m800.08 4 31 21 21 21 21
si2_b09m_m800.06 4 60 7 7 7 7
si2_b09m_m800.01 4 63 10 10 10 10
si4_b03_m400.01 3 23 3 3 3 3
si4_b03_m400.02 3 14 3 3 3 3
si4_b03_m400.05 3 13 3 3 3 3
si4_b03_m400.07 3 13 3 3 3 3
si4_b03_m400.06 3 13 3 3 3 3
si4_b03_m400.00 3 13 3 3 3 3
si4_b03_m400.03 3 13 3 3 3 3
si4_b03_m400.04 3 22 3 3 3 3
si4_b03_m400.09 3 13 3 3 3 3
si4_b03_m400.08 3 13 3 3 3 3
si2_b03_m200.05 3 3 3 3 3 3
si2_b03_m200.09 3 2 3 3 3 3
si2_b03_m200.07 3 2 3 3 3 3
si2_b03_m200.01 3 2 3 3 3 3
si2_b03_m200.08 3 2 3 3 3 3
si2_b03_m200.02 3 3 3 3 3 3
si2_b03_m200.04 3 2 3 3 3 3
si2_b03_m200.03 3 3 3 3 3 3
si2_b03_m200.06 3 2 3 3 3 3
si2_b03_m200.00 3 3 3 3 3 3
si4_r005_m600.00 7 2093 17483 NaN 17483 NaN
si4_r005_m600.02 7 1210 12393 NaN 12393 NaN
si4_r005_m600.08 7 10292 56032 NaN 56032 NaN
si4_r005_m600.05 7 2400 39538 NaN 39538 NaN
si4_r005_m600.07 7 1662 18915 NaN 18915 NaN
si4_r005_m600.06 7 4044 67618 NaN 67618 NaN
si4_r005_m600.01 7 1592 9892 NaN 9892 NaN
si4_r005_m600.04 7 4860 42427 NaN 42427 NaN
si4_r005_m600.03 7 1251 5399 63 5399 63
si4_r005_m600.09 7 835 1022 NaN 1022 NaN
si4_b09_m400.05 3 46 3 3 3 3
si4_b09_m400.03 3 45 3 3 3 3
si4_b09_m400.00 3 45 3 3 3 3
si4_b09_m400.07 3 45 3 3 3 3
si4_b09_m400.01 3 45 3 3 3 3
si4_b09_m400.06 3 46 3 3 3 3
si4_b09_m400.04 3 66 3 3 3 3
si4_b09_m400.02 3 45 3 3 3 3
si4_b09_m400.08 3 62 3 3 3 3
si4_b09_m400.09 3 45 3 3 3 3
si4_b06m_m400.06 4 12 11 12 12 11
si4_b06m_m400.03 4 11 5 5 5 5
si4_b06m_m400.01 4 20 3 3 3 3
si4_b06m_m400.08 4 12 8 8 8 8
si4_b06m_m400.05 4 19 14 14 14 14
si4_b06m_m400.07 4 13 9 9 9 9
si4_b06m_m400.00 4 11 5 5 5 5
si4_b06m_m400.04 4 20 15 15 15 15
si4_b06m_m400.09 4 11 13 13 13 13
si4_b06m_m400.02 4 10 8 8 8 8
si2_m4Dr2_m625.05 6 21 14 9 14 9
si2_m4Dr2_m625.00 6 28 309 31 309 35
si2_m4Dr2_m625.08 6 23 3 3 3 3
