instance family glasgow hybrid-rbj hybrid-rbj-init hybrid-noedge-rbj hybrid-noedge-rbj-init
si2_m4Dr2_m625.05 6 21 37 234 21 19
si2_m4Dr2_m625.00 6 28 56 257 39 40
si2_m4Dr2_m625.08 6 23 190 272 151 19
si2_m4Dr2_m625.09 6 15 169 209 122 23
si2_m4Dr2_m625.06 6 26 42 216 20 39
si2_m4Dr2_m625.04 6 17 48 214 27 28
si2_m4Dr2_m625.01 6 26 45 205 30 22
si2_m4Dr2_m625.03 6 17 46 228 32 40
si2_m4Dr2_m625.02 6 28 36 283 30 40
si2_m4Dr2_m625.07 6 27 35 213 30 37
si2_r005_m200.02 7 8 14 48 12 17
si2_r005_m200.01 7 821 65 47 59 24
si2_r005_m200.03 7 51 30 72 27 18
si2_r005_m200.05 7 383 67 76 86 19
si2_r005_m200.08 7 3360 2251 49 2250 36
si2_r005_m200.04 7 5111 5471 49 5612 35
si2_r005_m200.09 7 16 28 78 26 15
si2_r005_m200.06 7 30 47 66 50 20
si2_r005_m200.00 7 552 589 79 593 23
si2_r005_m200.07 7 38 43 74 41 38
si4_b03m_m400.03 4 13 132 124 61 9
si4_b03m_m400.09 4 8 88 103 54 16
si4_b03m_m400.08 4 8 106 109 86 19
si4_b03m_m400.04 4 11 108 101 86 13
si4_b03m_m400.00 4 8 111 94 66 8
si4_b03m_m400.01 4 8 82 93 48 10
si4_b03m_m400.07 4 8 84 96 97 8
si4_b03m_m400.02 4 10 121 94 69 18
si4_b03m_m400.06 4 8 85 131 83 8
si4_b03m_m400.05 4 9 111 130 90 15
si2_r01_m600.01 7 32704 26144 1472 26911 387
si2_r01_m600.06 7 91437 114337 1501 114479 332
si2_r01_m600.09 7 437251 622 1546 561 331
si2_r01_m600.08 7 694120 202945 1548 205547 327
si2_r01_m600.04 7 253105 293554 1519 297060 305
si2_r01_m600.02 7 472739 454129 1461 459811 295
si2_r01_m600.00 7 378830 398465 1525 400291 338
si2_r01_m600.07 7 98913 76492 1467 77263 359
si2_r01_m600.03 7 219198 223850 1474 222297 402
si2_r01_m600.05 7 79344 64663 1487 63953 339
si4_m4Dr6_m256.01 6 5 46 91 21 19
si4_m4Dr6_m256.00 6 8 15 92 7 13
si4_m4Dr6_m256.05 6 8 15 60 13 19
si4_m4Dr6_m256.08 6 7 19 58 7 20
si4_m4Dr6_m256.03 6 6 44 95 24 20
si4_m4Dr6_m256.06 6 6 18 96 10 9
si4_m4Dr6_m256.09 6 6 15 76 12 19
si4_m4Dr6_m256.07 6 9 20 77 14 16
si4_m4Dr6_m256.02 6 6 18 86 11 20
si4_m4Dr6_m256.04 6 11 13 64 9 18
si2_b03m_m400.02 4 4 54 77 29 7
si2_b03m_m400.00 4 7 42 50 37 6
si2_b03m_m400.01 4 4 45 70 31 13
si2_b03m_m400.05 4 7 50 70 43 13
si2_b03m_m400.08 4 7 41 49 35 12
si2_b03m_m400.07 4 4 13 71 8 6
si2_b03m_m400.09 4 6 44 73 31 6
si2_b03m_m400.03 4 4 62 71 31 13
si2_b03m_m400.04 4 4 44 73 31 5
si2_b03m_m400.06 4 4 46 53 21 5
si2_b03m_m200.05 4 1 9 22 8 6
