instance "si-noninduced-gss-20201105" "si-noninduced-pathlad-20201105" "si-noninduced-vf2-20201105" "si-noninduced-ri-20201105" "si-noninduced-minion-preprocess-gac-20201105" "si-noninduced-hybrid-preprocess-gac-comm-checker-20201105" "si-noninduced-hybrid-preprocess-gac-comm-test-20201105" "si-noninduced-hybrid-preprocess-gac-comm-propagate-20201105" "si-noninduced-hybrid-preprocess-gac-comm-rollback-20201105" "si-noninduced-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-moreoddthaneven-minion-preprocess-gac-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-checker-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-test-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-propagate-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-rollback-20201105" "si-moreoddthaneven-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-lessthreeodd-minion-preprocess-gac-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-checker-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-test-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-propagate-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-rollback-20201105" "si-lessthreeodd-hybrid-preprocess-gac-comm-randomrollback-20201105" "si-parity-minion-preprocess-gac-20201105" "si-parity-hybrid-preprocess-gac-comm-checker-20201105" "si-parity-hybrid-preprocess-gac-comm-test-20201105" "si-parity-hybrid-preprocess-gac-comm-propagate-20201105" "si-parity-hybrid-preprocess-gac-comm-rollback-20201105" "si-parity-hybrid-preprocess-gac-comm-randomrollback-20201105"
F.10 0.0605801 0.0182788 129.344 1000.02 NaN 17.4246 17.2215 17.5173 17.3779 17.2226 NaN 17.9546 18.0767 18.269 17.9212 18.1024 NaN 17.7132 17.8004 17.7599 17.4806 17.7119 NaN 17.7189 17.7087 17.6493 17.689 17.6836
A.17 0.017822 0.0053809 11.9247 0.0237027 4.39713 3.79247 3.85395 3.66514 3.7399 3.7834 8.18628 4.41591 4.28305 4.33713 4.1972 4.09917 7.61999 4.10572 4.1631 4.00947 4.21544 4.13843 5.71748 3.95021 3.80327 3.74581 3.75434 3.64096
B.15 0.101257 0.0350417 1000.01 0.0312471 174.868 10.1157 10.0396 10.276 10.3442 10.194 174.234 11.7951 11.9288 11.8343 12.3635 12.1578 685.787 10.6597 10.5227 10.6949 10.7641 10.5631 306.215 9.9224 9.97085 10.1198 10.094 10.2908
E.03 0.12794 0.0215363 1000.01 51.5275 NaN 15.5815 15.5696 15.83 15.874 15.6473 NaN 16.4496 16.5475 16.6619 16.4515 16.7243 NaN 16.6012 16.121 16.3657 16.4798 16.2765 NaN 16.2694 16.0741 15.9891 16.536 16.1185
F.19 0.307499 0.0868647 1000.01 0.101719 NaN 17.2521 21.0935 21.2233 18.4719 18.5707 NaN 17.3379 21.3919 21.106 18.873 19.2426 NaN 16.9256 20.3637 21.3424 18.5708 18.6665 NaN 16.7994 16.7302 16.8632 16.8504 17.1636
A.12 0.0174066 0.00585558 0.896604 0.0292082 6.851 3.50752 3.47948 3.58941 3.58842 3.54975 7.90151 3.80517 4.01937 4.29567 4.36018 4.59378 8.19111 4.02588 4.06565 4.12924 4.23724 4.03737 5.71632 3.98679 4.03171 3.98834 4.01859 3.74236
B.08 0.138282 0.0262726 1000.01 0.0304109 112.857 10.413 10.5075 10.4951 10.4756 10.3243 105.317 11.6443 11.7301 12.1768 11.7692 11.8791 459.1 10.5922 10.4434 10.4679 10.4987 10.559 225.637 9.87187 9.85325 10.0993 9.9404 10.0017
F.17 0.287373 0.320742 1000.01 1.07163 NaN 18.1383 25.6924 26.1532 18.8646 17.9457 NaN 18.1532 26.1018 26.3375 18.9157 19.0005 NaN 17.6212 22.7653 21.4702 18.5993 19.1736 NaN 17.0081 18.0398 18.2345 18.3396 18.366
C.04 0.321851 0.128737 1000.01 0.0451841 69.2427 22.4835 23.0201 23.0579 23.1963 22.8155 NaN 25.0483 25.0833 25.0638 26.0434 26.1348 NaN 24.1621 24.2322 23.8534 23.351 23.6782 NaN 22.673 22.0632 22.9222 23.1436 22.843
B.19 0.100902 0.0392128 1000.01 0.031439 55.783 10.4242 10.5436 10.6649 10.6375 10.6991 429.937 11.5215 11.8874 11.6759 11.9423 11.9402 411.682 10.7591 11.0261 10.8398 10.4413 10.8007 214.741 10.0413 10.3444 10.2934 10.1796 10.0182
C.16 0.273453 0.0720408 1000.01 0.0442965 445.327 23.8452 23.4972 24.142 24.2363 23.6907 428.689 25.5673 25.5519 26.6322 25.9926 26.5309 NaN 24.0228 24.104 24.3609 23.256 23.9044 NaN 23.3539 23.5366 22.4222 22.4436 23.6158
C.17 0.28077 0.0773831 1000.01 0.0449983 706.312 23.639 23.7798 23.4978 23.3826 23.4022 NaN 25.469 25.8109 24.9514 25.3523 25.1908 NaN 23.5646 23.8517 24.3446 24.3422 24.6826 NaN 22.7334 22.4217 23.1795 22.4742 22.7355
E.08 0.170798 0.0187613 1000.01 1000.02 NaN 15.8689 15.5107 15.6766 15.6866 15.5307 NaN 16.4525 16.3975 16.7088 16.3766 16.4962 NaN 16.0744 15.9694 16.0353 15.9416 15.9343 NaN 15.9983 15.9968 15.7053 15.896 16.0148
F.13 0.389509 1.04791 1000.01 1000.02 NaN 17.6385 33.8891 34.2532 17.4378 20.8203 NaN 17.9115 33.0302 34.7279 17.9404 20.6071 NaN 17.7436 40.6915 43.0153 22.0903 23.399 NaN 16.8797 24.2832 24.3798 18.5422 18.9654
A.20 0.0172189 0.00741349 155.048 0.0258266 10.3087 3.60432 3.55785 3.63707 3.53762 3.57858 15.8994 4.14554 4.01513 3.95791 4.2471 4.1358 14.9165 3.80512 3.97046 3.73317 3.61491 3.91303 9.06263 3.85927 3.77746 3.54879 3.5789 3.66296
E.02 0.0843139 0.0242152 1000.01 1000.02 NaN 16.3185 15.9163 16.1087 16.0856 16.3917 NaN 16.7864 16.6482 16.7026 16.5063 16.7352 NaN 16.5218 16.4091 16.3259 16.1339 16.4004 NaN 16.1419 16.112 16.2146 16.2185 15.995
